,0,1,2
0,0.830880472469,PIK3CD,ANK1
1,0.691643013096,SLCO2A1,ANK1
2,0.68513052667,GPX4,ANK1
3,0.630172338356,PTK2B,ANK1
4,0.615665377776,STX1A,NTRK1
5,0.614792106494,STAT3,GPX4
6,0.604756369549,NTRK1,ANK1
7,0.597469068944,STX1A,IL6R
8,0.575017816127,STX1A,NRCAM
9,0.574728794125,ITGA2,ANK1
10,0.562207289945,SLCO4A1,ANK1
11,0.528701886816,STAT3,IRS1
12,0.528362179394,UPB1,PIK3CD
13,0.527457961199,SLC22A2,PIK3CD
14,0.46028739061,SLCO2A1,GABRB2
15,0.437573102312,PRKAR2B,PIK3CD
16,0.411459332622,SLC22A2,EXOC6
17,0.402766549307,PDPK1,KRAS
18,0.402562836887,PIK3CD,KRAS
19,0.39571527537,KCNMB4,ITGA2
20,0.39571527537,STX1A,IFNGR1
21,0.356987184071,PRKAR2B,GAB2
22,0.353573451489,STAT3,EIF2AK1
23,0.337255855163,STAT3,DDOST
24,0.331152261223,NF1,ANK1
25,0.293009262513,PRKAR2B,PIK3R3
26,0.255680143814,PPCDC,IFNGR1
27,0.249631544545,PIK3R3,CDC16
28,0.24763312244,KRAS,BTRC
29,0.232517137591,SOS1,PDPK1
30,0.215223181047,OAT,GAB2
31,0.16332546504,SC5DL,IRS1
32,0.0759863959574,UPB1,ATF2
