,0,1,2,3,4
0,ATF2,PIK3CD,UPB1,0.335642802843,0.0215526130893
1,BTRC,PDPK1,KRAS,0.530795583748,0.134059490701
2,BTRC,PIK3CD,KRAS,0.499391646526,0.105337426878
3,CDC16,PRKAR2B,PIK3R3,0.343806197317,0.112303586345
4,DDOST,EIF2AK1,STAT3,0.285514847992,0.166182877008
5,EIF2AK1,DDOST,STAT3,0.285514847992,0.166182877008
6,EIF2AK1,IRS1,STAT3,0.413468400472,0.169684108901
7,IRS1,EIF2AK1,STAT3,0.413468400472,0.169684108901
8,NF1,SLCO2A1,ANK1,0.225068693368,0.19112539088
9,NF1,SLCO4A1,ANK1,0.305434193143,0.0954269648155
10,OAT,PRKAR2B,GAB2,0.522892512401,0.180897934754
11,PDPK1,BTRC,KRAS,0.530795583748,0.134059490701
12,PIK3CD,BTRC,KRAS,0.499391646526,0.105337426878
13,PIK3CD,PIK3R3,PRKAR2B,0.25522701926,0.18260893952
14,PIK3CD,ATF2,UPB1,0.335642802843,0.0215526130893
15,PIK3R3,PIK3CD,PRKAR2B,0.25522701926,0.18260893952
16,PPCDC,STX1A,IFNGR1,0.256109244657,0.116300416061
17,PRKAR2B,OAT,GAB2,0.522892512401,0.180897934754
18,PRKAR2B,CDC16,PIK3R3,0.343806197317,0.112303586345
19,SC5DL,STAT3,IRS1,0.478487382802,0.0920560413886
20,SLCO2A1,NF1,ANK1,0.225068693368,0.19112539088
21,SLCO4A1,NF1,ANK1,0.305434193143,0.0954269648155
22,STAT3,SC5DL,IRS1,0.478487382802,0.0920560413886
23,STX1A,PPCDC,IFNGR1,0.256109244657,0.116300416061
