,Gene1,Gene2,Count
0,1,2,99.0
1,GPX4,ANK1,93.0
2,SLCO4A1,ANK1,98.0
3,STAT3,ANK1,92.0
4,IL6R,ANK1,71.0
5,PIK3CD,ANK1,86.0
6,STX1A,ANK1,41.0
7,STX1A,NTRK1,37.0
8,STAT3,NRCAM,28.0
9,IRS1,ANK1,84.0
10,ITGA2,ANK1,86.0
11,NRCAM,GAB2,29.0
12,SLC22A2,ANK1,80.0
13,PRKAR2B,NRCAM,43.0
14,UPB1,PIK3CD,57.0
15,SLCO2A1,ANK1,40.0
16,IFNGR1,ANK1,66.0
17,STX1A,PTK2B,86.0
18,NRCAM,EIF2AK1,41.0
19,SLCO4A1,PIK3R3,39.0
20,STAT3,KRAS,2.0
21,NTRK1,GABRB2,65.0
22,SLC22A2,PDPK1,8.0
23,KCNMB4,ANK1,47.0
24,NRCAM,EXOC6,43.0
25,SOS1,EXOC6,96.0
26,PRKAR2B,PPCDC,12.0
27,SC5DL,EXOC6,91.0
28,SLCO4A1,CDC16,2.0
29,SLCO4A1,DDOST,38.0
30,NF1,ANK1,29.0
31,PPCDC,OAT,43.0
32,SC5DL,ATF2,98.0
33,KRAS,BTRC,29.0
34,NTRK1,ANK1,66.0
35,SLCO4A1,PRKAR2B,27.0
36,UPB1,SLCO4A1,8.0
37,SLC22A2,EXOC6,55.0
38,KRAS,GAB2,32.0
39,PPCDC,IFNGR1,12.0
40,PRKAR2B,CDC16,41.0
41,PRKAR2B,DDOST,7.0
42,NRCAM,NF1,36.0
43,PIK3CD,NRCAM,2.0
44,SLCO4A1,ITGA2,12.0
45,PRKAR2B,PIK3CD,13.0
46,SLCO2A1,IRS1,1.0
47,KCNMB4,GPX4,16.0
48,GAB2,ANK1,24.0
49,PIK3CD,PDPK1,20.0
50,EIF2AK1,ANK1,5.0
51,PRKAR2B,OAT,47.0
52,SLCO4A1,IL6R,16.0
53,SLC22A2,GPX4,6.0
54,SLCO2A1,NTRK1,29.0
55,NRCAM,ANK1,5.0
56,PTK2B,NTRK1,6.0
57,STAT3,PIK3R3,7.0
58,IL6R,EIF2AK1,17.0
59,PRKAR2B,KRAS,33.0
60,PTK2B,PPCDC,30.0
61,EXOC6,BTRC,14.0
62,SLCO4A1,NRCAM,2.0
63,UPB1,STAT3,19.0
64,PRKAR2B,PIK3R3,37.0
65,NRCAM,CDC16,10.0
66,PRKAR2B,PDPK1,22.0
67,KRAS,EXOC6,7.0
68,NF1,BTRC,3.0
69,STX1A,IRS1,9.0
70,NRCAM,IL6R,10.0
71,PIK3CD,GABRB2,9.0
72,STAT3,PRKAR2B,18.0
73,SLC22A2,IFNGR1,11.0
74,SLCO4A1,PDPK1,32.0
75,STAT3,EIF2AK1,31.0
76,UPB1,PIK3R3,4.0
77,PDPK1,KRAS,3.0
78,PIK3R3,CDC16,30.0
79,PDPK1,DDOST,1.0
80,PIK3R3,BTRC,2.0
81,PIK3CD,NTRK1,25.0
82,SLCO4A1,GAB2,19.0
83,GABRB2,ANK1,24.0
84,IRS1,DDOST,8.0
85,OAT,BTRC,19.0
86,SLC22A2,NRCAM,2.0
87,SLCO4A1,KRAS,4.0
88,SC5DL,BTRC,8.0
89,STAT3,GPX4,8.0
90,STX1A,PIK3CD,31.0
91,NRCAM,GPX4,6.0
92,PTK2B,NF1,9.0
93,GAB2,BTRC,4.0
94,PTK2B,NRCAM,1.0
95,PPCDC,GPX4,23.0
96,PIK3R3,NF1,9.0
97,SOS1,BTRC,9.0
98,SLCO2A1,PIK3CD,2.0
99,UPB1,STX1A,1.0
100,STX1A,NRCAM,44.0
101,NTRK1,GAB2,2.0
102,NRCAM,KRAS,9.0
103,SLCO2A1,KCNMB4,3.0
104,KCNMB4,ITGA2,11.0
105,PIK3R3,KRAS,4.0
106,STX1A,PDPK1,2.0
107,OAT,NRCAM,9.0
108,NTRK1,NF1,4.0
109,PIK3CD,GAB2,18.0
110,PIK3CD,EIF2AK1,2.0
111,STAT3,DDOST,16.0
112,NF1,GAB2,5.0
113,PDPK1,BTRC,2.0
114,SLCO4A1,PIK3CD,8.0
115,STAT3,IFNGR1,4.0
116,UPB1,GPX4,9.0
117,SLCO4A1,KCNMB4,14.0
118,STAT3,PTK2B,2.0
119,IFNGR1,GPX4,8.0
120,EIF2AK1,CDC16,4.0
121,STAT3,GAB2,7.0
122,STAT3,KCNMB4,4.0
123,PDPK1,GAB2,8.0
124,PTK2B,PRKAR2B,1.0
125,STX1A,IFNGR1,8.0
126,PDPK1,NRCAM,2.0
127,PPCDC,IRS1,2.0
128,IL6R,DDOST,5.0
129,STX1A,STAT3,1.0
130,SLCO4A1,IRS1,2.0
131,PIK3R3,PDPK1,1.0
132,SOS1,SC5DL,11.0
133,SOS1,NF1,1.0
134,STAT3,IL6R,12.0
135,PPCDC,IL6R,3.0
136,PIK3CD,DDOST,16.0
137,UPB1,NTRK1,2.0
138,PIK3R3,ANK1,1.0
139,PIK3CD,IRS1,5.0
140,SLCO2A1,ITGA2,21.0
141,IL6R,GPX4,2.0
142,STAT3,CDC16,3.0
143,KCNMB4,IRS1,4.0
144,SLCO4A1,SLCO2A1,3.0
145,STAT3,PPCDC,8.0
146,STAT3,SLCO2A1,1.0
147,PIK3R3,GAB2,9.0
148,PPCDC,NRCAM,4.0
149,NF1,KRAS,2.0
150,SLC22A2,IL6R,3.0
151,STX1A,GABRB2,1.0
152,PRKAR2B,BTRC,6.0
153,OAT,CDC16,3.0
154,GPX4,DDOST,2.0
155,DDOST,ANK1,3.0
156,PTK2B,PIK3CD,2.0
157,OAT,NF1,2.0
158,PDPK1,ANK1,4.0
159,KRAS,ANK1,6.0
160,GAB2,CDC16,2.0
161,GPX4,EIF2AK1,1.0
162,STX1A,DDOST,1.0
163,NF1,ATF2,1.0
164,PPCDC,NTRK1,2.0
165,SLCO4A1,GPX4,1.0
166,SLC22A2,PIK3CD,6.0
167,SLCO2A1,IL6R,2.0
168,STAT3,NF1,1.0
169,IRS1,CDC16,2.0
170,UPB1,IL6R,1.0
171,GAB2,DDOST,1.0
172,GPX4,BTRC,1.0
173,PIK3R3,PIK3CD,1.0
174,IRS1,IFNGR1,2.0
175,BTRC,ATF2,1.0
176,KRAS,GPX4,1.0
177,UPB1,GAB2,1.0
178,NF1,IL6R,1.0
179,PRKAR2B,EIF2AK1,2.0
180,STAT3,PIK3CD,1.0
181,UPB1,ANK1,1.0
182,KRAS,CDC16,1.0
183,EIF2AK1,DDOST,1.0
184,STX1A,PPCDC,2.0
185,KCNMB4,CDC16,1.0
186,DDOST,BTRC,1.0
187,PTK2B,GPX4,1.0
188,STAT3,SLC22A2,2.0
189,SLCO2A1,GPX4,1.0
190,PIK3CD,IL6R,1.0
191,PIK3CD,GPX4,1.0
192,GPX4,CDC16,1.0
193,STX1A,GPX4,1.0
