,Gene1,Gene2,Count
0,1,2,99.0
1,ITGA2,ANK1,26.0
2,STAT3,IRS1,28.0
3,KCNMB4,ITGA2,28.0
4,STAT3,ANK1,21.0
5,STAT3,GPX4,39.0
6,SLCO2A1,ITGA2,29.0
7,PRKAR2B,KCNMB4,2.0
8,SLCO4A1,SLCO2A1,13.0
9,STX1A,SLCO4A1,6.0
10,PIK3CD,GPX4,45.0
11,UPB1,EIF2AK1,7.0
12,STX1A,SLC22A2,31.0
13,PDPK1,GAB2,7.0
14,NTRK1,ITGA2,21.0
15,SLC22A2,EXOC6,46.0
16,KCNMB4,IL6R,6.0
17,NRCAM,GAB2,13.0
18,KRAS,GAB2,30.0
19,SLC22A2,NRCAM,19.0
20,UPB1,PIK3CD,70.0
21,STAT3,IFNGR1,20.0
22,EIF2AK1,DDOST,6.0
23,PTK2B,GPX4,7.0
24,SLCO2A1,GABRB2,14.0
25,PPCDC,PDPK1,9.0
26,PIK3R3,CDC16,49.0
27,SC5DL,IFNGR1,10.0
28,PIK3R3,DDOST,18.0
29,NF1,ANK1,39.0
30,DDOST,BTRC,4.0
31,OAT,KRAS,9.0
32,OAT,ATF2,3.0
33,SOS1,GAB2,7.0
34,PTK2B,ANK1,39.0
35,PIK3CD,ANK1,77.0
36,SLC22A2,PIK3CD,35.0
37,STX1A,IL6R,28.0
38,STX1A,PTK2B,6.0
39,STX1A,NRCAM,40.0
40,SLCO4A1,IRS1,39.0
41,STX1A,STAT3,17.0
42,NTRK1,ANK1,43.0
43,UPB1,IRS1,13.0
44,PRKAR2B,EXOC6,5.0
45,PRKAR2B,PIK3CD,26.0
46,SLCO2A1,ANK1,59.0
47,GPX4,EIF2AK1,3.0
48,PRKAR2B,PIK3R3,22.0
49,PTK2B,ITGA2,3.0
50,NTRK1,KCNMB4,4.0
51,GAB2,ANK1,7.0
52,PPCDC,IFNGR1,39.0
53,IRS1,GABRB2,23.0
54,KRAS,EXOC6,21.0
55,SLCO4A1,PDPK1,3.0
56,OAT,DDOST,6.0
57,STAT3,PPCDC,13.0
58,STX1A,BTRC,3.0
59,SOS1,PDPK1,50.0
60,SC5DL,PPCDC,4.0
61,OAT,NF1,5.0
62,PRKAR2B,ATF2,10.0
63,PIK3CD,IL6R,28.0
64,IL6R,GPX4,2.0
65,SLCO4A1,ITGA2,26.0
66,NRCAM,ITGA2,2.0
67,STX1A,NTRK1,37.0
68,SLCO2A1,SLC22A2,2.0
69,STAT3,EIF2AK1,38.0
70,GABRB2,ANK1,30.0
71,PIK3CD,EIF2AK1,8.0
72,SLCO2A1,PTK2B,5.0
73,UPB1,PRKAR2B,13.0
74,KCNMB4,GPX4,8.0
75,NTRK1,GAB2,2.0
76,IL6R,EXOC6,2.0
77,SLCO4A1,KRAS,17.0
78,IRS1,DDOST,8.0
79,SLC22A2,SC5DL,7.0
80,PDPK1,KRAS,39.0
81,SC5DL,ATF2,17.0
82,SOS1,BTRC,13.0
83,ITGA2,IL6R,3.0
84,STAT3,NRCAM,17.0
85,SLCO4A1,ANK1,33.0
86,STAT3,IL6R,19.0
87,SLC22A2,NTRK1,3.0
88,PRKAR2B,ANK1,14.0
89,STAT3,PTK2B,8.0
90,KCNMB4,ANK1,15.0
91,PIK3CD,KRAS,5.0
92,PIK3CD,EXOC6,9.0
93,SLC22A2,GABRB2,1.0
94,STX1A,IFNGR1,25.0
95,PIK3R3,GAB2,17.0
96,KRAS,BTRC,35.0
97,SOS1,EXOC6,11.0
98,SC5DL,IRS1,12.0
99,OAT,ANK1,5.0
100,GPX4,ANK1,34.0
101,STX1A,PIK3CD,11.0
102,PRKAR2B,PDPK1,13.0
103,IRS1,ANK1,19.0
104,PRKAR2B,DDOST,8.0
105,PRKAR2B,GAB2,21.0
106,SLCO4A1,IL6R,25.0
107,PDPK1,EXOC6,28.0
108,PTK2B,PIK3CD,11.0
109,SLCO4A1,PIK3R3,21.0
110,PPCDC,ITGA2,4.0
111,PTK2B,IFNGR1,1.0
112,SLCO4A1,OAT,8.0
113,SOS1,SC5DL,8.0
114,PTK2B,NF1,19.0
115,PPCDC,ATF2,2.0
116,IFNGR1,BTRC,5.0
117,SLCO2A1,NRCAM,6.0
118,SLC22A2,ANK1,12.0
119,SLCO2A1,GPX4,9.0
120,GPX4,GABRB2,4.0
121,SLCO4A1,EXOC6,2.0
122,STAT3,PIK3R3,8.0
123,GABRB2,DDOST,2.0
124,SLCO4A1,PRKAR2B,11.0
125,IRS1,IFNGR1,38.0
126,IL6R,EIF2AK1,12.0
127,SOS1,DDOST,5.0
128,GAB2,CDC16,9.0
129,STX1A,ANK1,26.0
130,PRKAR2B,ITGA2,4.0
131,PIK3CD,ITGA2,3.0
132,PIK3CD,GAB2,4.0
133,SLC22A2,KRAS,11.0
134,PDPK1,KCNMB4,2.0
135,NRCAM,ANK1,16.0
136,PTK2B,DDOST,5.0
137,PIK3R3,ITGA2,5.0
138,SLCO2A1,PPCDC,11.0
139,PTK2B,EIF2AK1,6.0
140,NF1,ATF2,8.0
141,SC5DL,OAT,5.0
142,SLCO2A1,NTRK1,15.0
143,SLCO4A1,PIK3CD,30.0
144,NTRK1,NRCAM,7.0
145,IRS1,IL6R,9.0
146,UPB1,NTRK1,4.0
147,PRKAR2B,NTRK1,3.0
148,IL6R,GAB2,7.0
149,PTK2B,NTRK1,15.0
150,NTRK1,NF1,6.0
151,OAT,CDC16,2.0
152,GAB2,BTRC,5.0
153,GPX4,ATF2,1.0
154,STX1A,GPX4,19.0
155,SLCO2A1,KCNMB4,13.0
156,PIK3CD,NTRK1,11.0
157,ITGA2,GAB2,7.0
158,NRCAM,KRAS,9.0
159,NRCAM,EIF2AK1,3.0
160,PIK3CD,DDOST,2.0
161,STAT3,OAT,11.0
162,SOS1,NRCAM,8.0
163,PDPK1,CDC16,2.0
164,STX1A,NF1,4.0
165,BTRC,ATF2,7.0
166,SLCO2A1,IRS1,3.0
167,IFNGR1,GPX4,3.0
168,STX1A,PDPK1,2.0
169,PRKAR2B,CDC16,3.0
170,STAT3,DDOST,18.0
171,UPB1,OAT,5.0
172,SLC22A2,ATF2,13.0
173,PRKAR2B,BTRC,7.0
174,SC5DL,PDPK1,10.0
175,PIK3CD,PDPK1,15.0
176,GPX4,DDOST,1.0
177,UPB1,PTK2B,6.0
178,NRCAM,CDC16,3.0
179,SC5DL,NF1,2.0
180,PDPK1,EIF2AK1,1.0
181,PPCDC,GPX4,2.0
182,OAT,GAB2,4.0
