,Gene1,Gene2,Count
0,1,2,99.0
1,IRS1,ANK1,44.0
2,PIK3CD,GPX4,40.0
3,PTK2B,PIK3CD,22.0
4,STAT3,GPX4,24.0
5,IL6R,ANK1,54.0
6,PPCDC,ATF2,9.0
7,STX1A,PIK3CD,9.0
8,PIK3CD,ANK1,1.0
9,PPCDC,NTRK1,5.0
10,SLC22A2,GPX4,22.0
11,NTRK1,ANK1,73.0
12,SLCO4A1,KRAS,15.0
13,PIK3R3,GPX4,3.0
14,PIK3CD,GAB2,7.0
15,SC5DL,EXOC6,68.0
16,UPB1,IL6R,35.0
17,IFNGR1,ANK1,37.0
18,STAT3,PRKAR2B,5.0
19,SLCO4A1,PIK3CD,50.0
20,SOS1,PPCDC,1.0
21,GAB2,CDC16,12.0
22,NRCAM,GAB2,9.0
23,PPCDC,KCNMB4,2.0
24,PRKAR2B,PDPK1,24.0
25,NRCAM,EXOC6,42.0
26,SLCO2A1,ANK1,9.0
27,GAB2,DDOST,9.0
28,NTRK1,GABRB2,31.0
29,NRCAM,NF1,7.0
30,SLCO2A1,ITGA2,31.0
31,SLC22A2,BTRC,4.0
32,PRKAR2B,OAT,19.0
33,GPX4,EIF2AK1,3.0
34,PRKAR2B,PIK3R3,14.0
35,STX1A,ANK1,32.0
36,PDPK1,GAB2,22.0
37,STAT3,ANK1,22.0
38,SLCO4A1,PRKAR2B,37.0
39,SOS1,SC5DL,45.0
40,PTK2B,NRCAM,30.0
41,SLCO4A1,IRS1,6.0
42,SLCO4A1,IL6R,21.0
43,SLC22A2,ANK1,28.0
44,GPX4,ANK1,18.0
45,PIK3CD,NRCAM,18.0
46,PDPK1,OAT,14.0
47,ITGA2,ANK1,42.0
48,PRKAR2B,KRAS,9.0
49,STAT3,DDOST,4.0
50,IRS1,GABRB2,4.0
51,UPB1,EIF2AK1,11.0
52,PPCDC,GAB2,20.0
53,SOS1,PDPK1,10.0
54,CDC16,ATF2,19.0
55,KCNMB4,ITGA2,7.0
56,PIK3R3,CDC16,3.0
57,NTRK1,NF1,13.0
58,GPX4,BTRC,21.0
59,STX1A,IRS1,23.0
60,PTK2B,PRKAR2B,3.0
61,SLC22A2,IL6R,17.0
62,PRKAR2B,PPCDC,5.0
63,STAT3,SLCO4A1,13.0
64,SLC22A2,IFNGR1,8.0
65,PRKAR2B,GAB2,31.0
66,SLC22A2,IRS1,13.0
67,STAT3,NTRK1,6.0
68,SLCO4A1,NRCAM,22.0
69,ITGA2,GABRB2,7.0
70,GABRB2,ANK1,23.0
71,PPCDC,PIK3R3,15.0
72,SLCO4A1,SC5DL,1.0
73,SOS1,EXOC6,23.0
74,SLCO2A1,GABRB2,14.0
75,UPB1,PRKAR2B,7.0
76,PIK3CD,EIF2AK1,2.0
77,KCNMB4,IFNGR1,19.0
78,PPCDC,OAT,13.0
79,PRKAR2B,DDOST,5.0
80,SC5DL,ATF2,14.0
81,KRAS,IL6R,10.0
82,NF1,DDOST,1.0
83,NRCAM,BTRC,2.0
84,STAT3,SLC22A2,16.0
85,STAT3,PIK3CD,6.0
86,UPB1,NRCAM,3.0
87,GAB2,EXOC6,19.0
88,STX1A,IFNGR1,30.0
89,STX1A,SLC22A2,7.0
90,UPB1,GPX4,10.0
91,PRKAR2B,NRCAM,21.0
92,STX1A,PDPK1,13.0
93,PTK2B,GPX4,11.0
94,KCNMB4,EXOC6,12.0
95,UPB1,KRAS,7.0
96,SLC22A2,ATF2,3.0
97,GAB2,BTRC,14.0
98,STAT3,PPCDC,10.0
99,NF1,KCNMB4,2.0
100,SLCO2A1,IFNGR1,8.0
101,SLCO4A1,DDOST,13.0
102,IFNGR1,GABRB2,11.0
103,NF1,EIF2AK1,8.0
104,SOS1,OAT,5.0
105,SC5DL,NRCAM,14.0
106,CDC16,BTRC,3.0
107,PIK3R3,OAT,17.0
108,STX1A,PTK2B,17.0
109,NTRK1,IFNGR1,5.0
110,NTRK1,KCNMB4,21.0
111,STX1A,PPCDC,2.0
112,IL6R,CDC16,19.0
113,SLCO2A1,OAT,16.0
114,SOS1,GAB2,5.0
115,PTK2B,DDOST,7.0
116,KCNMB4,ATF2,15.0
117,SLCO4A1,EXOC6,3.0
118,PRKAR2B,EIF2AK1,32.0
119,PPCDC,ITGA2,3.0
120,PTK2B,BTRC,1.0
121,SLCO4A1,ANK1,43.0
122,STAT3,IRS1,38.0
123,PIK3CD,NTRK1,6.0
124,SLC22A2,PIK3CD,10.0
